Masjid  ;stars;name;text
Masjid Agung Keraton Surakarta;3;akhna channel;Toilet barunya bagus, luas, tapi agak bau. sperti kurang terawat. Parkir motor masa' 3000 rb
Masjid Agung Keraton Surakarta;5;eshape 2020;
Masjid Agung Keraton Surakarta;5;Ahmad Mudhakir;
Masjid Agung Keraton Surakarta;5;Nining Astuti;Bersih...nyaman...
Masjid Agung Keraton Surakarta;5;Kusmanto Surya;Alhamdulillah.
Masjid Agung Keraton Surakarta;5;Ibrahim Fathahillah;Bagus, bangunan adat jawanya sangat kental
Masjid Agung Keraton Surakarta;5;Syaiful Rakhman;
Masjid Agung Keraton Surakarta;3;Hanandia Nataprawira;masjid nya besar
Masjid Agung Keraton Surakarta;5;Tegar Wisnu;
Masjid Agung Keraton Surakarta;5;Apriani Kharunnisa;
Masjid Agung Keraton Surakarta;5;Sitarahmawati Septi Mahanani;Setenang ini suasana malamnya di masjid agung surakarta
Masjid Agung Keraton Surakarta;5;yazid rm;
Masjid Agung Keraton Surakarta;5;Muhammad Yusuf;
Masjid Agung Keraton Surakarta;5;satiyar mayasari;
Masjid Agung Keraton Surakarta;5;bangbni mr;
Masjid Agung Keraton Surakarta;5;YOYOK WALUYO;
Masjid Agung Keraton Surakarta;5;anis pnrisby;
Masjid Agung Keraton Surakarta;5;monstrax leader;
Masjid Agung Keraton Surakarta;5;Preditz Kepix;
Masjid Agung Keraton Surakarta;5;Mass Ugiwlsi;Alhamdulillah berkesempatan hadir berjamaah semoga karomahnya memberikan kebagian
Masjid Agung Keraton Surakarta;5;Nana Listiana;"Masjid ya bersih.
Banyak pedagang menjual camilan dan oleh-oleh.
Kebetulan ke sana pas mendekati sekaten Maulud.
Bisa melihat pertunjukkan gamelan.
Kebetulan cuaca sangat panas pas ke sana.
Jadi gak lama-lama untuk berkeliling."
Masjid Agung Keraton Surakarta;5;Raejin's LIFE;
Masjid Agung Keraton Surakarta;5;Herison Dagen;Nyaman dan bersih
Masjid Agung Keraton Surakarta;5;Aditia Rahman;Ayem atimu nang kene Lur
Masjid Agung Keraton Surakarta;5;Hendrawan;
Masjid Agung Keraton Surakarta;5;Totok Sugianto;Masjid bersejarah, tempat bersih dan halaman luas....
Masjid Agung Keraton Surakarta;4;Rika Nurnaningsih;Suasana masjid nya menenangkan, nyaman untuk beribadah...
Masjid Agung Keraton Surakarta;5;Tomi Kalaza;"Masjidnya gaya kuno, tapi bagus.
.
Nebeng istirahat tiduran bentar di masjid ini, ada juga kamar mandinya bisa buat mandi. Terima kasih Takmir..."
Masjid Agung Keraton Surakarta;5;None Any;Masya Alloh....tenang, nyaman dan nuansa religi di Masjid ini...Dekorasi vibes zaman dulu terasa lhoo....Hawa di dalam masjid dingin dan sejuk meskipun cuaca di luar terik. Fasilitas yg diberikan luar biasa memberikan kenyamanan pada pengunjung dari luar kota. Barang bawaan  bisa dititipkan di petugas, sepatu kita juga bisa dititipkan ke penjaga agar aman pulang tidak nyeker hehehehe....dengan mengisi kotak infaq
Masjid Agung Keraton Surakarta;5;Abi;"Salah satu masjid tertua di solo.
Tempat nya nyaman, banyak org istirahat di teras masjid"
Masjid Agung Keraton Surakarta;5;Sri Nawang;
Masjid Agung Keraton Surakarta;5;Adhitya Choirul;
Masjid Agung Keraton Surakarta;4;joko rusdiatmo;Sholat Maghrib
Masjid Agung Keraton Surakarta;5;ES teh Ginastel;sambil lihat gamelan sekaten
Masjid Agung Keraton Surakarta;5;Adhil Massaid;Masjid bagus fasilitas baik dan bersih
Masjid Agung Keraton Surakarta;4;Satriono BS Afad;Nyaman buat sholat dan ibadah lainnya. Joglo depan masjid luas dan semilir angin membuat suasana nyaman buat jamaah yg ingin merebahkan badan sebentar selepas mengunjungi pasar Klewer disamping kanan masjid
Masjid Agung Keraton Surakarta;5;Dwi Puspita Sari;
Masjid Agung Keraton Surakarta;5;sunar sunar;
Masjid Agung Keraton Surakarta;5;Resi Asmara W;Datang kesini waktu ada acara sekaten
Masjid Agung Keraton Surakarta;5;Al Issya;
Masjid Agung Keraton Surakarta;5;erwin fahida;
Masjid Agung Keraton Surakarta;5;Sunarsih Uty;Kemarin grup As Salam dr Purwokerto sholat Dzuhur dimasjid  Surakarta sungguh senang sekali serombongan bs ke 🕌 Surakarta, sayang waktu saya menuju Masjid P Jokowi sdh jauh br ingat baju sy sealat mandi ketinggalan disana diserambi tempat rukuh diatas plastik putih dlmnya baju sragam ijo bersama krudungnya
Masjid Agung Keraton Surakarta;4;Aris Crep;"Masjid Jawa Bersejarah Terklasik Se'Solo Raya, Berada Di Komplek Keraton Surakarta Hadiningrat Sebelah Utara. Nuansa Religi, Adem, Tenang Dan Keindahan Tempo Dulu Menjadikan Pengunjung Tampak Betah Berada Di Masjid Ini. Fungsi Awal Masjid Ini Digunakan Untuk Berbagai Acara Keagama'an Keraton. Dapat Juga Belajar Tentang Sejarah Islam Di Surakarta Serta Bisa Merasakan Atmosfer Spiritual Yang Khas..

Selengkap'nya :
▶️ YouTube @ArisCrep
"" masjid keraton solo aris crep """
Masjid Agung Keraton Surakarta;5;Fona Herlina;Tempat ya bagus Dan bersih
Masjid Agung Keraton Surakarta;5;rohmat arhadi;Masjid adem dan nyaman
Masjid Agung Keraton Surakarta;5;Viana Zahra.8;"sangat sakral bolo
adem di hati"
Masjid Agung Keraton Surakarta;5;Toviyani;
Masjid Agung Keraton Surakarta;4;wahyu noviyanti;
Masjid Agung Keraton Surakarta;5;adhi setya hutama;
Masjid Agung Keraton Surakarta;5;Nurul Kustiya;Luar biasa
Masjid Agung Keraton Surakarta;5;Dwi Agus Saputro;
Masjid Agung Keraton Surakarta;5;dwi purwanto;Bagus mantap
Masjid Agung Keraton Surakarta;4;Amar Hasyim;Masjid yang sejuk dan masih mempertahankan nuansa zaman dulu
Masjid Agung Keraton Surakarta;5;Sitiroqimah Roqimah;
Masjid Agung Keraton Surakarta;5;muhammad ismail;
Masjid Agung Keraton Surakarta;5;an thony;
Masjid Agung Keraton Surakarta;4;Caesariobintang Agusp;Masjid yang masih merupakan Kagungan Dalem Yang Mulia Sri Susuhunan Surakarta Hadiningrat, hampir mirip dengan bangunan Masjid Agung Kauman di Karaton Kesultanan Ngayogyakarta Hadiningrat. Yang membedakan hanya adanya menara (minaret), gapura gaya Persia di pintu masuk sebelah timur, dan warna cat didominasi biru muda dan putih  juga kuning di bagian luar, serta arsitektur atap kayu di dalam ruang jemaah. Prasasti ditulis dengan huruf Hijaiyah (Arab) dan aksara Jawa menunjukkan bahwa Surakarta merupakan kesunanan Islam dan adat Jawa sebagai penuntun untuk menghidupi marwahnya.
Masjid Agung Keraton Surakarta;5;Loeloes Trie;
Masjid Agung Keraton Surakarta;5;Wiliam Thomi;Masjid agung
Masjid Agung Keraton Surakarta;5;muhamad amroni;Masjid tua yang nyaman
Masjid Agung Keraton Surakarta;5;Ryan Hafidz;Masjid dengan nuansa klasik sehingga sholat terasa lebih khusyuk
Masjid Agung Keraton Surakarta;4;Dwi Karyani;
Masjid Agung Keraton Surakarta;5;Rizqi Puspita dewi;Teduh dan nyaman untuk ibadah serta istirahat sejenak setelah keliling solo 👍
Masjid Agung Keraton Surakarta;5;vindi Toyota;
Masjid Agung Keraton Surakarta;5;raul gasruk;Sholat jumat disini.Sambil merasakan ornamen yang sudah tua. Suka warna biru yang di selasar masjid.
Masjid Agung Keraton Surakarta;5;Aldhika Kurniawan;
Masjid Agung Keraton Surakarta;5;Ressa Teja Arivianto;Tempat bersih luas n nyaman
Masjid Agung Keraton Surakarta;5;Alfiani Yogaturida Isnaini;
Masjid Agung Keraton Surakarta;5;Sudarma Dji;
Masjid Agung Keraton Surakarta;5;Ghusnul aulia Isro;
Masjid Agung Keraton Surakarta;5;sumadi madi;
Masjid Agung Keraton Surakarta;5;Fatkhur Rofik;
